Date,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2020-01-21,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,8745.89453125,24097418512,8796.33,8667.69,8196.26,7894.5,7643.67,8009.29,9042.39,8728.44,8539.76,8180.1,8117.05,7981.09,8112.56,8224.69,63.53,64.53,59.21,548.34,604.39,575.3,359.66,356.3,319.97,669.73,710.63,659.96,481.05,462.53,404.62,32.49,46.91,70.89,69.85,81.4,79.5
2020-01-22,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,8680.8759765625,22600204051,8746.69,8716.53,8281.03,7938.67,7670.88,8012.35,9029.76,8712.59,8561.47,8217.19,8153.43,8008.54,8123.81,8229.23,59.16,62.51,58.3,495.4,568.06,559.32,344.28,352.29,324.83,619.32,680.19,651.83,468.2,464.42,417.34,22.0,34.99,66.37,67.34,78.51,79.13
2020-01-23,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,8406.515625,25770680779,8639.44,8742.76,8334.11,7974.81,7693.97,8014.36,9014.53,8610.57,8537.63,8231.22,8169.76,8024.14,8129.41,8231.0,44.19,54.7,54.63,379.35,505.16,523.33,306.41,337.0,321.15,499.89,620.09,621.44,426.95,451.93,419.26,8.77,21.09,47.28,61.51,66.31,75.41
2020-01-24,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,8445.4345703125,24397913026,8587.27,8704.53,8385.85,8013.81,7713.92,8018.34,8995.33,8555.52,8523.45,8247.08,8187.54,8040.66,8135.67,8233.13,46.43,55.55,55.05,308.44,439.58,480.35,276.37,316.79,312.19,426.25,555.48,582.4,394.18,432.68,414.24,19.9,16.89,37.77,50.47,68.04,70.95
2020-01-25,8440.119140625,8458.453125,8296.21875,8367.84765625,8367.84765625,19647331549,8529.31,8660.61,8433.67,8051.44,7730.33,8020.98,8974.3,8492.96,8499.51,8256.03,8199.17,8053.5,8140.26,8234.47,42.46,53.4,54.02,236.93,372.03,431.67,243.48,292.35,298.45,350.43,487.13,536.01,356.98,407.45,402.79,11.25,13.31,31.06,38.7,64.59,66.31
2020-01-26,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,8596.830078125,22177678796,8499.5,8647.91,8475.05,8095.0,7751.14,8027.22,8956.5,8527.59,8514.48,8281.27,8224.83,8074.8,8149.31,8238.08,55.55,58.5,56.5,246.32,330.13,394.6,233.21,272.64,285.4,359.82,444.69,500.77,346.71,387.2,391.58,62.72,31.29,47.68,38.84,74.77,69.13
2020-01-27,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,8909.8193359375,28647338393,8545.29,8645.99,8512.36,8148.06,7778.05,8036.43,8944.26,8655.0,8575.3,8327.83,8269.02,8107.55,8164.37,8244.76,67.38,64.25,59.59,327.17,329.14,381.11,247.47,264.25,277.82,446.01,445.13,489.82,366.31,380.24,386.52,90.45,54.81,75.13,51.29,88.68,76.01
2020-01-28,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,9358.58984375,34398744403,8735.7,8687.57,8576.3,8212.59,7817.21,8047.79,8931.97,8889.53,8695.81,8404.19,8339.32,8156.61,8188.01,8255.84,77.43,70.56,63.44,485.34,381.21,401.96,291.62,273.37,280.58,616.67,502.31,515.19,422.95,394.48,393.81,100.0,84.39,100.0,74.27,100.0,87.82
2020-01-29,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,9316.6298828125,30682598115,8909.94,8748.61,8648.18,8280.05,7857.98,8058.52,8921.59,9031.9,8791.32,8471.77,8402.37,8202.1,8210.36,8266.4,74.91,69.33,62.86,560.13,440.85,433.59,319.55,288.76,288.37,701.05,568.56,552.36,460.47,416.47,407.14,92.12,94.19,92.12,89.08,96.4,95.03
2020-01-30,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,9508.9931640625,32378792851,9138.17,8833.74,8715.3,8357.23,7903.81,8072.83,8917.86,9190.93,8901.73,8548.6,8473.76,8253.35,8236.08,8278.76,78.63,71.76,64.41,642.33,508.01,475.34,353.13,310.22,301.32,794.63,643.91,600.81,505.43,446.13,426.8,96.57,96.23,96.57,96.23,98.33,98.24
2020-01-31,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,9350.529296875,29432489719,9288.91,8894.21,8780.95,8428.91,7945.96,8091.19,8910.14,9244.13,8970.78,8608.01,8530.33,8296.38,8258.15,8289.43,68.83,67.04,62.19,636.12,550.71,507.5,362.77,327.74,313.61,794.82,694.22,639.62,521.47,471.24,445.73,83.88,90.86,84.25,90.98,90.97,95.23
2020-02-01,9346.357421875,9439.3232421875,9313.2392578125,9392.875,9392.875,25922656496,9385.52,8965.41,8840.97,8509.15,7988.42,8110.18,8909.71,9293.71,9035.72,8666.15,8585.98,8339.38,8280.62,8300.41,70.0,67.65,62.55,627.56,576.33,531.51,369.57,341.68,324.8,791.98,726.8,670.09,533.99,492.16,463.38,86.95,89.13,87.54,89.45,92.56,93.95
2020-02-02,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,9344.365234375,30835736946,9382.68,9059.19,8900.98,8575.8,8032.82,8117.02,8907.96,9310.6,9083.2,8716.38,8634.91,8378.79,8301.68,8310.79,66.66,66.14,61.86,594.22,582.29,544.05,366.82,350.06,333.21,762.06,738.56,688.48,534.66,506.32,477.64,78.16,83.0,83.77,85.19,90.26,91.26
2020-02-03,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,9293.521484375,30934096509,9378.06,9144.0,8924.26,8638.57,8075.64,8117.51,8901.1,9304.91,9115.56,8759.13,8677.4,8414.66,8321.32,8320.57,63.0,64.51,61.12,545.78,570.12,544.4,356.43,352.18,337.85,714.98,730.7,693.78,525.63,512.76,487.24,59.73,74.95,79.82,83.71,85.79,89.54
