Datetime,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2021-03-22 11:15:00,58155.86328125,58180.42578125,58155.86328125,58164.734375,58164.734375,0,58150.65,58172.01,57986.01,57796.95,57769.44,57722.45,57594.8,58159.3,58106.77,57961.16,57932.49,57837.69,57713.49,57613.62,59.23,60.43,58.13,198.14,228.7,239.2,145.61,153.34,145.18,256.52,283.54,286.7,203.99,208.18,192.68,67.52,62.63,44.7,62.61,76.7,77.5
2021-03-22 11:20:00,58155.6484375,58167.171875,58152.60546875,58156.68359375,58156.68359375,0,58155.9,58160.82,58021.68,57819.38,57777.72,57732.46,57598.04,58158.43,58114.45,57975.64,57946.95,57850.2,57722.27,57619.02,58.0,59.95,57.91,182.79,213.4,227.91,138.81,148.5,143.9,241.55,269.54,277.67,197.57,204.64,193.66,62.12,62.36,35.73,49.42,76.09,76.27
2021-03-22 11:25:00,58117.71875,58117.71875,57930.6640625,57930.6640625,57930.6640625,0,58122.58,58131.09,58048.94,57835.4,57779.14,57740.0,57600.22,58082.51,58086.18,57972.31,57945.9,57853.36,57726.4,57622.12,34.44,48.41,52.16,110.2,179.0,204.37,113.87,136.95,137.9,164.86,234.65,255.11,168.53,192.6,188.63,0.0,43.21,0.0,26.81,56.78,69.86
2021-03-22 11:30:00,57927.2421875,57927.2421875,57875.49609375,57887.57421875,57887.57421875,99704832,58059.06,58102.05,58068.42,57850.36,57778.61,57746.11,57602.0,58017.53,58055.62,57966.03,57942.14,57854.7,57729.59,57624.77,31.59,46.57,51.15,51.5,136.5,173.8,89.59,121.17,128.24,101.55,190.28,224.4,139.64,174.95,178.83,3.66,21.93,2.66,12.8,53.33,62.07
2021-03-22 11:35:00,57911.375,57912.58203125,57908.99609375,57912.58203125,57912.58203125,0,58010.44,58078.03,58089.66,57873.88,57778.09,57751.05,57603.92,57982.54,58033.61,57962.07,57940.23,57856.97,57733.21,57627.63,35.22,47.81,51.71,20.47,97.82,143.13,71.54,104.62,116.9,66.75,149.1,192.87,117.82,155.91,166.63,11.25,4.97,8.18,3.61,53.9,54.67
2021-03-22 11:40:00,57900.171875,57926.01953125,57890.7890625,57926.01953125,57926.01953125,22020096,57962.7,58056.68,58110.38,57890.22,57778.83,57755.07,57605.49,57963.7,58017.06,57959.4,57939.31,57859.68,57737.03,57630.6,37.31,48.5,52.02,4.3,66.65,115.37,57.66,88.97,105.05,47.34,115.18,163.76,100.7,137.5,153.44,16.57,10.49,12.24,7.69,50.16,52.46
2021-03-22 11:45:00,57931.6796875,57931.6796875,57910.0703125,57918.2734375,57918.2734375,0,57915.02,58035.46,58113.36,57903.4,57779.92,57759.3,57606.66,57948.56,58001.86,57956.35,57937.96,57861.97,57740.62,57633.46,36.52,48.1,51.82,-7.79,41.84,90.73,45.51,74.48,93.14,32.1,87.49,137.43,85.4,120.14,139.84,14.03,13.95,12.29,10.9,49.46,51.17
2021-03-22 11:50:00,57917.875,57917.875,57865.171875,57865.171875,57865.171875,0,57901.92,58012.25,58107.36,57922.0,57781.15,57762.76,57607.37,57920.76,57980.83,57949.6,57933.26,57862.1,57743.08,57635.77,31.22,45.37,50.46,-28.84,18.28,66.82,31.23,60.07,80.76,7.15,60.71,111.37,67.22,102.5,125.31,0.0,10.2,0.0,8.18,44.61,48.08
2021-03-22 11:55:00,57864.16015625,57879.04296875,57859.3359375,57879.04296875,57879.04296875,55844864,57900.22,57979.64,58088.56,57937.27,57782.04,57766.25,57607.95,57906.86,57965.17,57944.37,57929.76,57862.76,57745.78,57638.19,34.13,46.23,50.81,-37.51,-0.32,45.95,20.8,46.98,68.77,-4.83,38.86,88.13,53.48,86.16,110.95,7.62,7.22,5.57,5.95,45.54,46.54
2021-03-22 12:00:00,57876.375,57876.375,57793.9453125,57793.9453125,57793.9453125,0,57876.49,57943.47,58058.86,57946.68,57783.23,57769.13,57608.45,57869.22,57938.83,57933.23,57921.0,57860.06,57746.73,57639.74,26.2,41.88,48.63,-64.01,-21.55,23.96,5.6,33.18,56.13,-35.93,13.93,63.32,33.68,68.67,95.49,0.0,2.54,0.0,1.86,37.72,42.62
2021-03-22 12:05:00,57791.48046875,57810.59375,57784.015625,57784.015625,57784.015625,0,57848.09,57905.4,58038.7,57959.14,57783.51,57772.07,57608.97,57840.82,57915.01,57922.18,57912.16,57857.08,57747.47,57641.17,25.39,41.39,48.38,-81.36,-41.49,2.9,-7.17,19.73,43.47,-57.6,-9.91,39.14,16.59,51.31,79.71,0.0,2.54,0.0,1.86,36.23,39.83
2021-03-22 12:10:00,57724.8828125,57724.8828125,57643.89453125,57653.70703125,57653.70703125,0,57795.18,57855.1,58007.96,57966.15,57782.63,57773.81,57608.81,57778.45,57874.81,57902.29,57895.49,57849.11,57745.61,57641.3,17.28,35.52,45.21,-123.84,-68.94,-22.45,-27.48,4.0,29.28,-106.38,-42.07,10.03,-10.02,30.86,61.77,3.41,1.14,1.75,0.58,24.14,32.7
2021-03-22 12:15:00,57630.47265625,57638.60546875,57606.70703125,57638.60546875,57638.60546875,88248320,57749.87,57825.89,57978.49,57974.59,57781.9,57773.5,57608.66,57731.84,57838.47,57882.76,57878.92,57840.85,57743.49,57641.27,16.56,34.9,44.85,-150.92,-96.26,-48.14,-44.29,-12.1,14.57,-139.31,-74.48,-19.84,-32.68,9.68,42.88,9.82,4.41,5.56,2.44,22.74,27.7
